Algorithm,Feature Method,Feature Count,Accuracy,Test AUC,CV AUC
Logistic Regression,Full,8,0.7337662337662337,0.8125925925925926,0.8441445182724252
Logistic Regression,RF Importance Top 5,5,0.7142857142857143,0.7959259259259259,0.8424764673311185
Logistic Regression,Permutation Top 5,5,0.7142857142857143,0.7959259259259259,0.8424764673311185
SVM,RF Importance Top 5,5,0.7597402597402597,0.8118518518518518,0.8420542635658913
SVM,Permutation Top 5,5,0.7597402597402597,0.8118518518518518,0.8420542635658913
Logistic Regression,Mutual Information Top 5,5,0.7012987012987013,0.8005555555555556,0.8397452934662237
Logistic Regression,Chi-Square Top 5,5,0.7012987012987013,0.8005555555555556,0.8397452934662237
SVM,Full,8,0.7272727272727273,0.8138888888888889,0.8372009966777408
SVM,Mutual Information Top 5,5,0.7142857142857143,0.8062037037037038,0.8356478405315613
SVM,Chi-Square Top 5,5,0.7142857142857143,0.8062037037037038,0.8356478405315613
SVM,ANOVA F-score Top 5,5,0.7142857142857143,0.8144444444444444,0.8342081949058693
Logistic Regression,ANOVA F-score Top 5,5,0.6948051948051948,0.7853703703703704,0.8312458471760797
Random Forest,Chi-Square Top 5,5,0.7662337662337663,0.8316666666666667,0.8231976744186047
Random Forest,Full,8,0.7597402597402597,0.8257407407407408,0.8221207087486156
Random Forest,RF Importance Top 5,5,0.7532467532467533,0.827962962962963,0.8215047065337764
Random Forest,Permutation Top 5,5,0.7532467532467533,0.827962962962963,0.8215047065337764
Random Forest,Mutual Information Top 5,5,0.7857142857142857,0.8311111111111111,0.8181755260243632
Random Forest,ANOVA F-score Top 5,5,0.7467532467532467,0.8188888888888889,0.8101522702104097
KNN,ANOVA F-score Top 5,5,0.7337662337662337,0.7759259259259259,0.8100415282392026
KNN,Mutual Information Top 5,5,0.6948051948051948,0.7867592592592592,0.7910305924695459
KNN,Chi-Square Top 5,5,0.6948051948051948,0.7867592592592592,0.7910305924695459
KNN,RF Importance Top 5,5,0.7142857142857143,0.7871296296296296,0.7882357419712072
KNN,Permutation Top 5,5,0.7142857142857143,0.7871296296296296,0.7882357419712072
XGBoost,Mutual Information Top 5,5,0.7402597402597403,0.7896296296296297,0.787232834994463
XGBoost,RF Importance Top 5,5,0.7142857142857143,0.8042592592592592,0.7868784606866003
XGBoost,Permutation Top 5,5,0.7142857142857143,0.8042592592592592,0.7868784606866003
KNN,Full,8,0.7532467532467533,0.7886111111111112,0.7868445459579181
XGBoost,Chi-Square Top 5,5,0.7402597402597403,0.7896296296296297,0.7859731450719823
XGBoost,Full,8,0.7467532467532467,0.797037037037037,0.7797840531561462
XGBoost,ANOVA F-score Top 5,5,0.7207792207792207,0.7866666666666666,0.768734772978959
Decision Tree,ANOVA F-score Top 5,5,0.7077922077922078,0.6976851851851852,0.7064036544850498
Decision Tree,Mutual Information Top 5,5,0.7467532467532467,0.7393518518518519,0.7056014673311185
Decision Tree,Chi-Square Top 5,5,0.7467532467532467,0.7393518518518519,0.6992933277962348
Decision Tree,Full,8,0.7012987012987013,0.6635185185185186,0.689905177187154
Decision Tree,RF Importance Top 5,5,0.7207792207792207,0.6971296296296298,0.6671954595791805
Decision Tree,Permutation Top 5,5,0.7207792207792207,0.6971296296296298,0.6671954595791805
