Algorithm,Feature Method,Feature Count,Accuracy,Test AUC,CV AUC
Random Forest,Full,11,0.99,1.0,0.9981283422459892
Random Forest,Permutation Top 5,5,1.0,1.0,0.9967803030303031
Random Forest,RF Importance Top 5,5,1.0,1.0,0.996590909090909
Random Forest,ANOVA F-score Top 5,5,1.0,1.0,0.9958333333333333
XGBoost,Permutation Top 5,5,1.0,1.0,0.9958333333333333
XGBoost,ANOVA F-score Top 5,5,1.0,1.0,0.9939616755793226
XGBoost,RF Importance Top 5,5,1.0,1.0,0.9939616755793226
Random Forest,Mutual Information Top 5,5,0.995,0.9986698590050544,0.9930035650623885
Random Forest,Chi-Square Top 5,5,0.995,0.9993349295025273,0.992825311942959
XGBoost,Full,11,0.99,1.0,0.990975935828877
XGBoost,Mutual Information Top 5,5,0.985,0.9984038308060654,0.9890151515151515
XGBoost,Chi-Square Top 5,5,0.985,0.9978717744080872,0.9888257575757576
Decision Tree,Full,11,1.0,1.0,0.9847537878787879
Decision Tree,ANOVA F-score Top 5,5,1.0,1.0,0.984564393939394
Decision Tree,RF Importance Top 5,5,1.0,1.0,0.984564393939394
Decision Tree,Permutation Top 5,5,1.0,1.0,0.984564393939394
SVM,ANOVA F-score Top 5,5,0.965,0.9954775206171854,0.9841911764705881
SVM,RF Importance Top 5,5,0.965,0.9954775206171854,0.9841911764705881
KNN,Permutation Top 5,5,0.99,0.9945464219207235,0.9831662210338681
SVM,Permutation Top 5,5,0.965,0.9984038308060655,0.9830436720142604
SVM,Full,11,0.94,0.985900505453578,0.9797682709447416
Logistic Regression,Chi-Square Top 5,5,0.945,0.9869646182495344,0.9796122994652405
Logistic Regression,Full,11,0.945,0.988826815642458,0.979055258467023
Logistic Regression,Permutation Top 5,5,0.965,0.994413407821229,0.9785427807486631
Logistic Regression,ANOVA F-score Top 5,5,0.95,0.9904229848363926,0.9778631907308378
Logistic Regression,RF Importance Top 5,5,0.95,0.9904229848363926,0.9778631907308378
Logistic Regression,Mutual Information Top 5,5,0.95,0.9880287310454908,0.9770164884135472
SVM,Chi-Square Top 5,5,0.94,0.9861665336525672,0.9748440285204991
SVM,Mutual Information Top 5,5,0.95,0.9901569566374036,0.972927807486631
KNN,ANOVA F-score Top 5,5,0.96,0.9900239425379089,0.9671234402852049
KNN,RF Importance Top 5,5,0.96,0.9900239425379089,0.9671234402852049
Decision Tree,Chi-Square Top 5,5,0.995,0.9972067039106145,0.9660037878787879
KNN,Mutual Information Top 5,5,0.96,0.985900505453578,0.9640652852049911
Decision Tree,Mutual Information Top 5,5,0.995,0.9972067039106145,0.9541443850267379
KNN,Chi-Square Top 5,5,0.93,0.9737962223995742,0.9501671122994653
KNN,Full,11,0.94,0.957169459962756,0.9486241087344028
